id,judul,abstrak,kbk
1,<p>Pengembangan Sistem Pendukung Keputusan untuk Menentukan Dosen Pembimbing Menggunakan Algoritma <i>Simple Additive Weighting (SAW)</i> pada Sistem Informasi Skripsi dan Tugas Akhir di Jurusan Teknik Elektro Universitas Negeri Malang</p>,"<p>Sistem Pendukung Keputusan (SPK) merupakan suatu sistem yang memiliki kemampuan&nbsp;<span style=""font-size: 1rem;"">pemecahan masalah yang digunakan untuk membantu pengambilan keputusan dalam situasi semi&nbsp;</span><span style=""font-size: 1rem;"">terstruktur dan situasi yang tidak terstruktur. Di Jurusan Teknik Elektro Universitas Negeri&nbsp;</span><span style=""font-size: 1rem;"">Malang, penentuan dosen pembimbing skripsi atau tugas akhir ditentukan oleh KBK dan&nbsp;</span><span style=""font-size: 1rem;"">Koorprodi. Berdasarkan hasil wawancara dengan salah satu dosen KBK ada beberapa kriteria&nbsp;</span><span style=""font-size: 1rem;"">penentuan dosen pembimbing yaitu: (1) Jabatan / Golongan / Pendidikan dosen; (2) Kesesuaian&nbsp;</span><span style=""font-size: 1rem;"">judul dengan bidang keahlian dosen; (3) Jumlah mahasiswa bimbingan dosen tersebut. Sistem&nbsp;</span><span style=""font-size: 1rem;"">informasi skripsi dan tugas akhir dapat menangani pendaftaran judul, melakukan pencatatan&nbsp;</span><span style=""font-size: 1rem;"">bimbingan, dan pendaftaran seminar atau sidang. Penelitian ini bertujuan untuk mengembangkan&nbsp;</span><span style=""font-size: 1rem;"">sistem pendukung keputusan guna menyediakan informasi dan merekomendasikan dosen&nbsp;</span><span style=""font-size: 1rem;"">pembimbing yang sesuai berdasarkan pada beberapa kriteria yang telah ditentukan agar&nbsp;</span><span style=""font-size: 1rem;"">mempermudah KBK dalam melakukan pemilihan dosen pembimbing skripsi dan tugas akhir&nbsp;</span><span style=""font-size: 1rem;"">sehingga tidak terjadi penggelembungan jumlah mahasiswa bimbingan pada salah satu dosen&nbsp;</span><span style=""font-size: 1rem;"">pembimbing.</span></p><p>SPK pada SISINTA ini dikembangkan menggunakan Model Waterfall yang terdiri dari&nbsp;<span style=""font-size: 1rem;"">empat langkah yaitu: (1) Analyze; (2) Design; (3) Code; (4) Test. Algoritma yang diterapkan&nbsp;</span><span style=""font-size: 1rem;"">pada SPK ini adalah Simple Additive Weighting (SAW) untuk memberikan rekomendasi dosen&nbsp;</span><span style=""font-size: 1rem;"">pembimbing yang sesuai dengan judul yang diajukan.&nbsp;</span></p><p><span style=""font-size: 1rem;"">Dengan&nbsp;</span><span style=""font-size: 1rem;"">dikembangkannya SPK diharapkan dapat&nbsp;</span><span style=""font-size: 1rem;"">memberikan&nbsp;</span><span style=""font-size: 1rem;"">informasi dan&nbsp;</span><span style=""font-size: 1rem;"">rekomendasi sehingga membantu dan memudahkan KBK dalam menentukan dosen pembimbing&nbsp;</span><span style=""font-size: 1rem;"">skripsi atau tugas akhir dari setiap judul yang masuk pada Sistem Informasi Skripsi dan Tugas&nbsp;</span><span style=""font-size: 1rem;"">Akhir.</span></p>",Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
3,<p>HUBUNGAN EFIKASI DIRI DENGAN KESIAPAN KERJA LULUSAN SMK NEGERI KOTA MALANG KOMPETENSI KEAHLIAN TEKNIK KOMPUTER DAN JARINGAN DI MASA PANDEMI COVID-19</p>,"<p>Pandemi covid-19 yang melanda dunia, terutama Indonesia sejak 2020 memberikan dampak yang signifikan terhadap berbagai sektor. Sektor pendidikan dan juga ekonomi adalah dua di antara banyak sektor yang terpengaruh karena pandemi. Pemutusan hubungan kerja (PHK) dan tidak terserapnya lulusan Sekolah Menengah Kejuruan (SMK) ke dalam dunia kerja menambah angka pengangguran yang bertambah dua kali lipat dari tahun sebelumnya. Hal ini tentu saja mempengaruhi kesiapan kerja yang di miliki oleh para lulusan baru SMK. Sementara itu efikasi diri dari lulusan juga sangat menentukan apakah para lulusan siap memasuki dunia kerja di masa pandemi covid-19. Penelitian ini bertujuan mengetahui hubungan antara efikasi diri dengan kesiapan kerja lulusan SMK kompetensi keahlian Teknik Komputer dan Jaringan (TKJ) di Kota Malang. </p><p>Jenis penelitian ini <i>ex-post facto</i>&nbsp;dengan rancangan deskritif korelasional dan pendekatan kuantitatif. Sedangkan teknik <i>sampling</i>&nbsp;yang digunakan adalah <i>purposive sampling</i>. &nbsp;Instrumen yang digunakan dalam untuk mengukur variabel penelitan adalah angket tertutup. Variabel yang digunakan adalah efikasi diri dan kesiapan kerja di masa pandemi covid-19.</p>",Ketenegakerjaan Teknologi dan Kejuruan
4,<p>Alat Bantu Penyandang Tunanetra Berbasis Deteksi Objek Secara <i>Real-Time</i></p>,"<p>Tujuan dilakukannya penelitian ini untuk membantu penyandang tunanetra bergerak secara mandiri, khususnya di pusat perbelanjaan. Pendeteksi objek berbasis <i>real-time </i>yang dikemas dalam sebuah aplikasi <i>mobile </i>akan mengarahkan tunanetra bergerak mendekati objek yang telah ditentukan. Cara kerja dari aplikasi ini adalah dengan mengunci koordinat lokasi objek melalui API <i>Google Maps</i> sehingga didapatkan jalur pengguna menuju lokasi objek. Sensor MPU6050 digunakan untuk mengarahkan pengguna bergerak sesuai jalur. Saat pengguna berjalan keluar dari jalur informasi berupa getaran yang dapat dirasakan pada tangan dikirimkan oleh aplikasi. Informasi getaran memiliki dua parameter yaitu bergetar jika benar dan tidak bergetar jika salah jalur. Objek yang berada pada radius pandang mata manusia ditangkap oleh aplikasi untuk diklasifikasikan.<br></p>",Biomedic and Intelligent Assistive Technology (TAT)
6,"<p class=""MsoNormal"" style=""margin-left:35.45pt;text-align:justify;text-indent: -35.45pt;line-height:150%""><span style=""font-size:12.0pt;line-height:150%; font-family:&quot;Times New Roman&quot;,serif"">Analisis Thermovisi Penghantar akibat Transmission Line Loss pada Saluran Transmisi Tegangan Tinggi 150kV di Gardu Induk Waru – Bay Buduran<o:p></o:p></span></p>","<p><span style=""font-size:12.0pt;line-height:107%; font-family:&quot;Times New Roman&quot;,serif;mso-fareast-font-family:Calibri;mso-fareast-theme-font: minor-latin;mso-ansi-language:IN;mso-fareast-language:EN-US;mso-bidi-language: AR-SA"">Gardu Induk Waru merupakan sub-transmisi listrik yang berada di kota Sidoarjo dengan level tegangan 150kV. Berada dalam sistem interkoneksi antar gardu induk yang salah satunya menjadi <i>incoming</i> listrik Gardu Induk Buduran dengan panjang transmisi 10,335km. Dalam proses transmisi listrik tidak akan pernah lepas dari permasalahan <i>Transmission line loss</i>, yang dipengaruhi oleh rugi daya akibat korona dan rugi daya pada resistansi penghantar. Oleh karena itu beberapa faktor menjadi penentu seberapa besar <i>losses</i> daya yang dihasilkan oleh <i>transmission line</i>, yaitu Suhu sekitar yang mengakibatkan besar kerapatan udara, besar jari-jari konduktor, jarak antar konduktor (D<sub>eq)</sub> dari kontruksi, Impedansi penghantar, besar tegangan <i>line to netral</i> dan arus listrik yang akan mempengaruhi seberapa besar panas pada klem-klem yang digunakan oleh alat-alat transmisi. Pada tanggal 5-12 november 2019 rata-rata panas pada klem-klem peralatan transmisi yang berada di switchyard GI Buduran sebesar 41,09˚C - 46,65˚C dengan <i>transmission line loss</i> sebesar 1,106MW – 1,907MW yang merupakan 1,301% - 1,345% dari besar daya aktif yang tersalurkan pada <i>outcoming</i> Waru bay Buduran. Data tersebut diambil pukul 14.00WIB yang merupakan rata-rata beban puncak pada <i>outcoming</i>.</span><br></p>",Intelligent Power Electronics and Smart Grid (IPESG)
7,"<p class=""MsoNormal"" align=""center"" style=""text-align:center""><b>Pengembangan Modul&nbsp;</b><b style=""font-size: 1rem;"">Berbasis Production-Based Education and Training&nbsp;</b><b style=""font-size: 1rem;"">pada Mata Pelajaran Dasar Desain Grafis&nbsp;</b><b style=""font-size: 1rem;"">untuk Meningkatkan Motivasi dan Hasil Belajar Siswa SMK</b></p>","<p class=""MsoNormal"" style=""text-align:justify""><span style=""font-size:12.0pt; mso-bidi-font-size:11.0pt;line-height:107%;font-family:&quot;Times New Roman&quot;,serif"">Mata pelajaran Dasar Desain Grafis merupakan mata pelajaran yang wajib dipelajari oleh seluruh peserta didik Program Keahlian Teknik Komputer dan Informatika (Direktorat Pembinaan SMK, 2018). Pembelajaran Dasar Desain Grafis merupakan pembelajaran yang menitikberatkan pada penguasaan pengetahuan dan keterampilan (Marthadinata, 2014). Sebagai seorang yang berkecimpung di bidang TIK, penguasaan desain grafis sangat penting dimiliki peserta didik sebagai modal dasar ketika terjun di dunia industri (Zulfa, 2019). Namun, dalam penelitian Pramuaji (2017) ditemui kendala yang terjadi dalam proses pembelajaran mata pelajaran tersebut ialah model pembelajaran yang digunakan kurang bervariasi, sehingga membuat kurang menarik minat peserta didik. Oleh karena itu, diperlukan sebuah model pembelajaran yang dapat membiasakan peserta didik dengan keadaan dan prosedur kerja di industri serta menumbuhkan minat belajar peserta didik.<o:p></o:p></span></p><p class=""MsoNormal"" style=""text-align:justify""><span style=""font-size:12.0pt; mso-bidi-font-size:11.0pt;line-height:107%;font-family:&quot;Times New Roman&quot;,serif"">Menurut Jenkins (2005), model pembelajaran <i>production-based Education and Training</i> (PBET) merupakan model pembelajaran yang mengintegrasikan proses pendidikan dan pelatihan pada proses produksi, yakni peserta didik diberikan pengalaman belajar pada situasi yang kontekstual mengikuti aliran kerja industri. Selain itu, kelebihan model pembelajaran PBET ialah model tersebut dapat meningkatkan kemampuan kerja sama (kolaborasi) sesuai dengan tuntutan organisasi kerja. Dalam penelitian Priyono (2017), disebutkan bahwa pelaksanaan program pembelajaran dengan model PBET berjalan dengan lancar serta hasilnya dapat tercapai dengan optimal. Maka dari itu, model pembelajaran PBET dipilih untuk diujicobakan pada pembelajaran Dasar Desain Grafis dalam penelitian ini.<o:p></o:p></span></p><p class=""MsoNormal"" style=""text-align:justify""><span style=""font-size:12.0pt; mso-bidi-font-size:11.0pt;line-height:107%;font-family:&quot;Times New Roman&quot;,serif"">Penelitian ini bertujuan untuk (1) mengembangkan modul pembelajaran Dasar Desain Grafis berbasis PBET; dan (2) mengetahui kelayakan modul pembelajaran yang dihasilkan telah memenuhi persyaratan untuk digunakan di kelas. Model yang dipilih untuk mengembangkan modul pembelajaran tersebut ialah model ADDIE.<o:p></o:p></span></p><p> <b><i>",Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
8,"<p><b><span lang=""EN-US"" style=""font-size:12.0pt; line-height:150%;font-family:&quot;Times New Roman&quot;,serif;mso-fareast-font-family: Calibri;mso-fareast-theme-font:minor-latin;mso-ansi-language:EN-US;mso-fareast-language: EN-US;mso-bidi-language:AR-SA"">PENGARUH KETERAMPILAN MENGAJAR </span><span style=""font-size:12.0pt;line-height:150%;font-family:&quot;Times New Roman&quot;,serif; mso-fareast-font-family:Calibri;mso-fareast-theme-font:minor-latin;mso-ansi-language: IN;mso-fareast-language:EN-US;mso-bidi-language:AR-SA"">ASISTEN PRAKTIKUM</span><span lang=""EN-US"" style=""font-size:12.0pt;line-height:150%;font-family:&quot;Times New Roman&quot;,serif; mso-fareast-font-family:Calibri;mso-fareast-theme-font:minor-latin;mso-ansi-language: EN-US;mso-fareast-language:EN-US;mso-bidi-language:AR-SA""> TERHADAP MOTIVASI DAN PRESTASI</span><span lang=""EN-US"" style=""font-size:12.0pt;line-height:150%; font-family:&quot;Times New Roman&quot;,serif;mso-fareast-font-family:Calibri;mso-fareast-theme-font: minor-latin;mso-ansi-language:IN;mso-fareast-language:EN-US;mso-bidi-language: AR-SA""> </span><span lang=""EN-US"" style=""font-size:12.0pt;line-height:150%; font-family:&quot;Times New Roman&quot;,serif;mso-fareast-font-family:Calibri;mso-fareast-theme-font: minor-latin;mso-ansi-language:EN-US;mso-fareast-language:EN-US;mso-bidi-language: AR-SA"">MAHASISWA S1 PENDIDIKAN TEKNIK INFORMATIKA </span><span style=""font-size:12.0pt;line-height:150%;font-family:&quot;Times New Roman&quot;,serif; mso-fareast-font-family:Calibri;mso-fareast-theme-font:minor-latin;mso-ansi-language: IN;mso-fareast-language:EN-US;mso-bidi-language:AR-SA"">ANGKATAN 2019 PADA MATA KULIAH DASAR PEMROGRAMAN KOMPUTER</span></b><br></p>","<p class=""MsoNormal"" style=""text-indent:36.0pt""><span lang=""EN-US"" style=""font-size:12.0pt;line-height:150%;font-family:&quot;Times New Roman&quot;,serif; mso-ansi-language:EN-US"">Motivasi belajar yang tinggi dapat membantu mahasiswa untuk mencapai prestasi belajar yang diharapkan, sedangkan motivasi belajar yang rendah dapat menghambat mahasiswa mencapai prestasi belajarnya. Motivasi belajar mahasiswa dipenga</span><span style=""font-size:12.0pt;line-height:150%; font-family:&quot;Times New Roman&quot;,serif"">r</span><span lang=""EN-US"" style=""font-size: 12.0pt;line-height:150%;font-family:&quot;Times New Roman&quot;,serif;mso-ansi-language: EN-US"">uhi oleh beberapa hal, salah satunya keterampilan </span><span style=""font-size:12.0pt;line-height:150%;font-family:&quot;Times New Roman&quot;,serif"">mengajar seorang </span><span lang=""EN-US"" style=""font-size:12.0pt;line-height:150%; font-family:&quot;Times New Roman&quot;,serif;mso-ansi-language:EN-US"">pendidik.</span><span lang=""EN-US"" style=""font-size:12.0pt;line-height:150%;font-family:&quot;Times New Roman&quot;,serif""> </span><span style=""font-size:12.0pt;line-height:150%;font-family:&quot;Times New Roman&quot;,serif"">Dalam sistem sosial, peran penting berada pada dosen yang memberikan materi perkuliahan. Beban mengajar dosen yang semakin besar menyebabkan kebutuhan akan asisten mahasiswa meningkat. Asisten mahasiswa berperan dalam mendukung kelangsungan proses belajar mengajar yang diampu oleh dosen. Begitu juga dengan kegiatan praktikum yang dilakukan oleh mahasiswa, motivasi praktikumnya akan dipengaruhi oleh keterampilan mengajar asisten praktikum di dalam kegiatan praktikum. &nbsp;Asisten praktikum diharapkan menjadi salah satu penggerak mahasiswa dalam melaksanakan tugas-tugas belajarnya, khususnya dalam memotivasi mahasiswa di dalam proses praktikum, agar mahasiswa dapat meningkatkan prestasi belajarnya dalam kegiatan praktikum.</span></p><p class=""MsoNormal"" style=""text-indent:36.0pt""><span style=""font-family: &quot;Times New Roman&quot;, serif; font-size: 12pt;"">Berkaitan dengan hal tersebut, maka dilakuakan penelitian yang bertujuan untuk mengetahui keterampilan mengajar asisten praktikum (X), mengetahui motivasi (Y1) dan prestasi (Y2) mahasiswa, dan mengetahui pengaruh keterampilan mengajar asisten praktikum terhadap motivasi dan prestasi mahasiswa Pendidikan Teknik Informatika angkatan 2019 pada mata kuliah Dasar Pemrograman Komputer.</span></p>",Evaluasi dan Pengelolaan Pendidikan Kejuruan
9,<p>Pengembangan “Grafika App” Sistem Tutor Berbasis Micro Learning Matakuliah Grafika Komputer Pada Mahasiswa Prodi S1 Pendidikan Teknik Informatika Jurusan Teknik Elektro Universitas Negeri Malang</p>,"<p class=""MsoNormal"" style=""line-height: 115%;"">Program Studi S1 Pendidikan Teknik Informatika merupakan salah satu Program Studi di Fakultas Teknik Jurusan Teknik Elektro Universitas Negeri Malang. Terdapat beberapa matakuliah yang harus ditempuh oleh mahasiswa program studi tersebut. Salah satunya adalah Matakuliah Grafika Komputer. Berdasarkan observasi ditemukan masalah yaitu kesulitan dalam pemahaman materi pada Matakuliah Grafika Komputer sehingga dirasa mahasiswa memerlukan media penunjang lain berupa sistem tutor berbasis mobile (<i>m-learning</i>). Pengembangan media pembelajaran sistem tutor berbasis mobile (<i>m-learning</i>) ini merupakan solusi untuk menangani permasalahan yang terjadi di Fakultas Teknik Jurusan Teknik Elektro Prodi S1 Pendidikan Teknik Informatika Universitas Negeri Malang. Selain itu dapat digunakan untuk mendukung kegiatan belajar bagi mahasiswa Teknik Elektro, khususnya prodi S1 Pendidikan Teknik Informatika pada Matakuliah Grafika Komputer. Tujuan dari penelitian pengembangan ini adalah merancang bahan ajar berupa sistem tutor berbasis aplikasi <i>smartphone </i>untuk Matakuliah Grafika Komputer, mengembangkan bahan ajar berbasis aplikasi <i>smartphone </i>yang sesuai dengan Matakuliah Grafika Komputer, dan menguji kelayakan produk bahan ajar berbasis aplikasi <i>smartphone </i>pada Matakuliah Grafika Komputer.<o:p></o:p></p><p> </p><p class=""MsoNormal"" style=""line-height: 115%;"">Dalam pengembangan produk bahan ajar ini, metode penelitian dan pengembangan mengacu pada model pengembangan Sugiyono. Model tersebut mempunyai langkah-langkah: (1) potensi dan masalah; (2) pengumpulan data; (3) desain produk; (4) validasi desain; (5) revisi desain; (6) uji coba produk; (7) revisi produk; (8) uji coba pengguna; (9) revisi produk; dan (10) produk akhir.<font face=""Times New Roman, serif""><o:p></o:p></font></p>",Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
10,<p>Sistem Monitoring dan Kontrol Berbasis Suara Menggunakan Dialogflow API Terintegrasi Google Assistant untuk Pertanian Akuaponik&nbsp;&nbsp;&nbsp;&nbsp;</p>,"<p class=""MsoNormal"" style=""line-height:normal"">Seiring padatnya penduduk di Indonesia, semakin besar kebutuhan pangan di negeri ini. akan tetapi, lahan untuk pertanian semakin berkurang seiring dengan banyaknya alih fungsi dari lahan pertanian tersebut. hal ini mendorong kaum urban untuk membuat <i>urban farming</i>, salah satunya yaitu melalui budidaya akuaponik yang merupakan budidaya akuakultur dengan hidroponik. kaum urban memiliki karakteristik sebagai orang yang memiliki banyak pekerjaan diluar rumah. Hal ini bisa mengurangi minat dalam budidaya akuaponik. Maka dari itu, diperlukan sistem monitoring dan kontrol untuk sistem akuaponik yang bisa digunakan secara jarak jauh untuk memantau kondisi dari akuaponik, hal ini bisa dirancang karena didukung dengan teknologi IoT (<i>Internet of Things</i>). Hal ini akan menjadi lebih menarik pengguna apabila sistem antarmuka berbasis suara. Banyak platform di dunia yang menyediakan asisten virtual berbasis suara, salah satu yang memiliki dukungan bahasa dan pengguna terbanyak yaitu Google Assistant. Hal ini bisa diintegrasikan dengan sistem akuaponik dan interaksi manusia dengan akuaponik menjadi lebih menarik. Hal yang diperlukan dalam merancang asisten suara yaitu harus menggunakan NLP (<i>Natural Language Processing</i>). Salah satu NLP yang bisa digunakan yaitu menggunakan API (<i>Application Programming Interface</i>) Dialogflow. API ini mendukung bahasa Indonesia sehingga bisa digunakan pada sistem ini. Selain itu, Dialogflow memiliki fitur yang terintegrasi dengan Google Assistant, sehingga mempermudah pengembang untuk mengembangkan aplikasinya. <o:p></o:p></p><p class=""MsoNormal"" style=""line-height:normal"">&nbsp;&nbsp; Tujuan dari penelitian ini yaitu untuk merancang akuaponik yang terintegrasi IoT dengan antarmuka berbasis suara di platform Google Assistant. pada sistem ini terdapat sensor suhu air, sensor pH air, aktuator Grow LED, aktuator pompa air, aktuator <i>feeder</i> pakan ikan. <o:p></o:p></p><p> </p><p class=""MsoNormal"" style=""line-height:normal"">&nbsp;&nbsp; Hasil pengujian dari sistem ini yaitu sistem dapat monitoring dan mengendalikan perangkat akuaponik secara tepat. <i>Feeder</i> pakan dapat berjalan otomatis sesuai dengan jadwal, begitu juga dengan Grow LED yang bisa nyala dan mati sesuai dengan jadwal yang ditentukan. Pompa secara otomatis dapat berjalan sesuai dengan konfigurasi dengan kondisi mikrokontroler aktif dan tidak mengalami mulai ulang. Bagian sensor, sistem dapat membaca hasil dari sensor pH air dan suhu air secara waktu-nyata.&nbsp;<o:p></o:p></p>",Telematics loT System and Devices
11,<p>Analisis Hasil Peramalan Harga Komoditas Daging Ayam dan Telur Ayam Indonesia menggunakan Metode Autoregressive Integrated Moving Average (ARIMA) dan Seasonal Autoregressive Integrated Moving Average (SARIMA)&nbsp;</p>,"<p>&nbsp;&nbsp;&nbsp;&nbsp;Daging ayam dan telur ayam merupakan bagian dari komoditas pokok di Indonesia berdasarkan Surat Keputusan Menteri Perdagangan dan Perindustrian No. 115/MPP/KEP/2/1998. Menurut Badan Pusat Statistik (BPS), konsumsi daging ayam per kapita masyarakat Indonesia terus meningkat. Konsumsi daging ayam ras per kapita/tahun pada 2017 meningkat 11,2%, sementara konsumsi daging ayam kampung meningkat 24,9%. Selain itu, tingkat konsumsi protein hewani masyarakat Indonesia pada 2018 untuk daging ayam dan telur ayam lebih tinggi jika dibandingkan daging sapi karena harganya yang lebih terjangkau.</p><p>&nbsp; &nbsp; Namun, harga daging ayam dan telur ayam rentan terhadap fluktuasi. Harga telur ayam bergantung pada harga bibit ayam&nbsp; atau <i>Day Old Chick </i>(DOC), harga pakan dan obat-obatan yang juga berpengaruh terhadap harga daging ayam. Berdasarkan kajian Nyak Ilham dan Saptana&nbsp; yang berjudul <i>Fluktuasi Harga Telur Ayam dan Faktor Penyebabnya, </i>harga telur ayam pada 2018 mengalami peningkatan dari 4 tahun sebelumnya dengan fluktuasi tinggi. Pada sisi lain, permintaan terhadap daging ayam dan telur ayam meningkat ketika momen Hari Besar Keagamaan dan Hari Libur Nasional. Hal ini menyebabkan pelonjakan harga daging ayam dan telur ayam. Pelonjakan harga ini menyebabkan kerugian pada masyarakat dan juga negara. Dilansir dari situs resmi Bank Indonesia, inflasi yang rendah dan stabil merupakan prasyarat pertumbuhan ekonomi yang berkesinambungan. Pengendalian inflasi penting dilakukan, karena inflasi yang tinggi dan tidak stabil berdampak negatif pada pertumbuhan ekonomi dan kondisi sosial ekonomi masyarakat. Maka dari itu, diperlukan peramalan harga pada masa mendatang untuk membantu pemerintah dalam mengambil keputusan mengenai penetapan kebijakan harga, penetapan waktu dan jumlah impor, penetapan jumlah stok (cadangan) telur ayam dan daging ayam, dan kebijakan lain yang terkait.</p><p>&nbsp; &nbsp; Penelitian ini melakukan pereamalan harga daging ayam dan telur ayam menggunakan metode ARIMA dan SARIMA. Peramalan dilakukan pada dataset bulanan yang diambil setiap tanggal 15 dari Januari 2007 hingga April 2019. Peramalan yang dilakukan termasuk peramalan jangka pendek yaitu peramalan untuk satu bulan kedepan. Hal ini dilakukan karena peramalan jangka pendek memiliki nilai <i>error </i>yang lebih kecil daripada peramalan jangka panjang. Peramalan harga dilakukan pada daging ayam dan telur ayam karena kedua komoditas ini saling berkaitan satu sama lain, dilihat dari hasil uji korelasi <i>Pearson </i>sebesar 0,92 pada dataset dan 0,87 pada hasil peramalan. Pemilihan model terbaik berdasarkan pada nilai <i>Mean Squared Error </i>(MSE), <i>Mean Absolute Error </i>(MAE) dan <i>Mean Absolute Percentage Error </i>(MAPE) terkecil. Hasil peramalan harga daging ayam terbaik menggunakan metode ARIMA konfigurasi (3, 1, 2) dengan nilai MAPE sebesar 2,31%, sedangkan hasil peramalan harga telur ayam terbaik menggunakan metode SARIMA konfigurasi [(2, 1, 1), (2, 0, 2, 0), n] dengan nilai MAPE sebesar 3,44%.<br></p>",Game Technology and Machine Learning Applications
12,HUBUNGAN ANTARA KETELADANAN DOSEN DAN KEBERMAKNAAN PRAKTIK PEMBELAJARAN MIKRO TERHADAP PERSEPSI BERKARIR SEBAGAI GURU SMK PADA MAHASISWA PROGRAM STUDI S1 PENDIDIKAN TEKNIK ELEKTRO FAKULTAS TEKNIK UNIVERSITAS NEGERI MALANG,"Mahasiswa dalam berkarir sebagai guru saat ini tergolong berkurang dalam bidang minat ataupun akademik. Oleh karena itu diperlukan peranan keteladanan dosen dan kebermaknaan praktik pembelajaran mikro yang mempengaruhi persepsi pada mahasiswa tersebut. Pada matakuliah praktik pembelajaran mikro dapat mempengaruhi kemampuan pedagogik seorang mahasiswa dan menumbuhkan persepsi terhadap berkarir sebagai guru. Dengan mengacu pada permasalahan tersebut maka dilakukan penelitian “Hubungan antara Keteladanan Dosen (X<sub>1</sub>) dan Kebermaknaan Praktik Pembelajaran Mikro (X<sub>2</sub>) dengan Persepsi Berkarir Sebagai Guru SMK (Y)”.<o:p></o:p></span></p><p class=""MsoNormal"" style=""text-align:justify;text-indent:36.0pt;line-height: normal""><span style=""font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;mso-ansi-language: EN-US"">Tujuan penelitian ini untuk mengungkap: (1) signifikansi hubungan antara X<sub>1</sub> dan X<sub>2</sub> dengan Y secara simultan. Metode penelitian ini merupakan penelitian kuantitatif dengan rancangan deskriptif korelasional yang bersifat <i>expost facto. </i>Uji prasyarat analisis data menggunakan uji normalitas, linearitas, multikolinearitas, autokorelasi, heteroskedastisitas, dan hipotesis yang telah memenuhi syarat. Teknik analisis data yang digunakan adalah korelasi parsial dan regresi ganda. Penelitian ini bertujuan untuk mengetahui: (1) persepsi mahasiswa tentang keteladanan dosen di Jurusan TE UM; (2) tingkat pengetahuan mahasiswa tentang kebermaknaan praktik pembelajaran mikro di Jurusan TE UM; (3) persepsi mahasiswa tentang berkarir sebagai guru SMK di Jurusan TE UM; (4) signifikansi hubungan antara persepsi keteladanan dosen dan persepsi berkarir sebagai guru SMK di Jurusan TE UM; (5) signifikansi hubungan antara kebermaknaan praktik pembelajaran mikro dan persepsi berkarir sebagai guru SMK di Jurusan TE UM; (6) signifikansi hubungan antara persepsi keteladanan dosen dan kebermaknaan praktik pembelajaran mikro dan persepsi berkarir sebagai guru SMK di Jurusan TE UM, serta mendeskripsikan masing-masing variabel X<sub>1</sub>, X<sub>2</sub>, dan Y. <o:p></o:p></span></p><p class=""MsoNormal"" style=""text-align:justify;text-indent:36.0pt;line-height: normal""><span style=""font-family:&quot;Times New Roman&quot;,&quot;serif&quot;;mso-ansi-language: EN-US"">Penelitian ini dilakukan di Fakultas Teknik Universitas Negeri Malang dengan subyek penelitian mahasiswa Program Studi S1 Pendidikan Teknik Elektro angkatan 2016.",Kurikulum Pendidikan Teknologi dan Kejuruan
