,id,judul,abstrak,kbk
0,1,pengembangan sistem pendukung keputusan untuk menentukan dosen pembimbing menggunakan algoritma simple additive weighting saw pada sistem informasi skripsi dan tugas akhir di jurusan teknik elektro universitas negeri malang,sistem pendukung keputusan spk merupakan suatu sistem yang memiliki kemampuanpemecahan masalah yang digunakan untuk membantu pengambilan keputusan dalam situasi semiterstruktur dan situasi yang tidak terstruktur di jurusan teknik elektro universitas negerimalang penentuan dosen pembimbing skripsi atau tugas akhir ditentukan oleh kbk dankoorprodi berdasarkan hasil wawancara dengan salah satu dosen kbk ada beberapa kriteriapenentuan dosen pembimbing yaitu 1 jabatan golongan pendidikan dosen 2 kesesuaianjudul dengan bidang keahlian dosen 3 jumlah mahasiswa bimbingan dosen tersebut sisteminformasi skripsi dan tugas akhir dapat megani pendaftaran judul melakukan pencatatanbimbingan dan pendaftaran seminar atau sidang penelitian ini bertujuan untuk mengembangkansistem pendukung keputusan guna menyediakan informasi dan merekomendasikan dosenpembimbing yang sesuai berdasarkan pada beberapa kriteria yang telah ditentukan agarmempermudah kbk dalam melakukan pemilihan dosen pembimbing skripsi dan tugas akhirsehingga tidak terjadi penggelembungan jumlah mahasiswa bimbingan pada salah satu dosenpembimbing spk pada sisinta ini dikembangkan menggunakan model waterfall yang terdiri dariempat langkah yaitu 1 analyze 2 design 3 code 4 test algoritma yang diterapkanpada spk ini adalah simple additive weighting saw untuk memberikan rekomendasi dosenpembimbing yang sesuai dengan judul yang diajukan dengandikembangkannya spk diharapkan dapatmemberikaninformasi danrekomendasi sehingga membantu dan memudahkan kbk dalam menentukan dosen pembimbingskripsi atau tugas akhir dari setiap judul yang masuk pada sistem informasi skripsi dan tugasakhir,Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
1,3,hubungan efikasi diri dengan kesiapan kerja lulusan smk negeri kota malang kompetensi keahlian teknik komputer dan jaringan di masa pandemi covid 19,pandemi covid 19 yang melanda dunia terutama indonesia sejak 2020 memberikan dampak yang signifikan terhadap berbagai sektor sektor pendidikan dan juga ekonomi adalah dua di antara banyak sektor yang terpengaruh karena pandemi pemutusan hubungan kerja phk dan tidak terserapnya lulusan sekolah menengah kejuruan smk ke dalam dunia kerja menambah angka pengangguran yang bertambah dua kali lipat dari tahun sebelumnya hal ini tentu saja mempengaruhi kesiapan kerja yang di miliki oleh para lulusan baru smk sementara itu efikasi diri dari lulusan juga sangat menentukan apakah para lulusan siap memasuki dunia kerja di masa pandemi covid 19 penelitian ini bertujuan mengetahui hubungan antara efikasi diri dengan kesiapan kerja lulusan smk kompetensi keahlian teknik komputer dan jaringan tkj di kota malang jenis penelitian ini ex post factodengan rancangan deskritif korelasional dan pendekatan kuantitatif sedangkan teknik samplingyang digunakan adalah purposive sampling instrumen yang digunakan dalam untuk mengukur variabel penelitan adalah angket tertutup variabel yang digunakan adalah efikasi diri dan kesiapan kerja di masa pandemi covid 19,Ketenegakerjaan Teknologi dan Kejuruan
2,4,alat bantu penyandang tuetra berbasis deteksi objek secara real time,tujuan dilakukannya penelitian ini untuk membantu penyandang tuetra bergerak secara mandiri khususnya di pusat perbelanjaan pendeteksi objek berbasis real time yang dikemas dalam sebuah aplikasi mobile akan mengarahkan tuetra bergerak mendekati objek yang telah ditentukan cara kerja dari aplikasi ini adalah dengan mengunci koordinat lokasi objek melalui api google maps sehingga didapatkan jalur pengguna menuju lokasi objek sensor mpu6050 digunakan untuk mengarahkan pengguna bergerak sesuai jalur saat pengguna berjalan keluar dari jalur informasi berupa getaran yang dapat dirasakan pada tangan dikirimkan oleh aplikasi informasi getaran memiliki dua parameter yaitu bergetar jika benar dan tidak bergetar jika salah jalur objek yang berada pada radius pandang mata manusia ditangkap oleh aplikasi untuk diklasifikasikan,Biomedic and Intelligent Assistive Technology (TAT)
3,6,analisis thermovisi penghantar akibat transmission line loss pada saluran transmisi tegangan tinggi 150kv di gardu induk waru  bay buduran,gardu induk waru merupakan sub transmisi listrik yang berada di kota sidoarjo dengan level tegangan 150kv berada dalam sistem interkoneksi antar gardu induk yang salah satunya menjadi incoming listrik gardu induk buduran dengan panjang transmisi 10 335km dalam proses transmisi listrik tidak akan pernah lepas dari permasalahan transmission line loss yang dipengaruhi oleh rugi daya akibat korona dan rugi daya pada resistansi penghantar oleh karena itu beberapa faktor menjadi penentu seberapa besar losses daya yang dihasilkan oleh transmission line yaitu suhu sekitar yang mengakibatkan besar kerapatan udara besar jari jari konduktor jarak antar konduktor deq dari kontruksi impedansi penghantar besar tegangan line to netral dan arus listrik yang akan mempengaruhi seberapa besar panas pada klem klem yang digunakan oleh alat alat transmisi pada tanggal 5 12 november 2019 rata rata panas pada klem klem peralatan transmisi yang berada di switchyard gi buduran sebesar 41 09c 46 65c dengan transmission line loss sebesar 1 106mw  1 907mw yang merupakan 1 301 1 345 dari besar daya aktif yang tersalurkan pada outcoming waru bay buduran data tersebut diambil pukul 14 00wib yang merupakan rata rata beban puncak pada outcoming,Intelligent Power Electronics and Smart Grid (IPESG)
4,7,pengembangan modulberbasis production based education and trainingpada mata pelajaran dasar desain grafisuntuk meningkatkan motivasi dan hasil belajar siswa smk,mata pelajaran dasar desain grafis merupakan mata pelajaran yang wajib dipelajari oleh seluruh peserta didik program keahlian teknik komputer dan informatika direktorat pembinaan smk 2018 pembelajaran dasar desain grafis merupakan pembelajaran yang menitikberatkan pada penguasaan pengetahuan dan keterampilan marthadinata 2014 sebagai seorang yang berkecimpung di bidang tik penguasaan desain grafis sangat penting dimiliki peserta didik sebagai modal dasar ketika terjun di dunia industri zulfa 2019 namun dalam penelitian pramuaji 2017 ditemui kendala yang terjadi dalam proses pembelajaran mata pelajaran tersebut ialah model pembelajaran yang digunakan kurang bervariasi sehingga membuat kurang menarik minat peserta didik oleh karena itu diperlukan sebuah model pembelajaran yang dapat membiasakan peserta didik dengan keadaan dan prosedur kerja di industri serta menumbuhkan minat belajar peserta didik menurut jenkins 2005 model pembelajaran production based education and training pbet merupakan model pembelajaran yang mengintegrasikan proses pendidikan dan pelatihan pada proses produksi yakni peserta didik diberikan pengalaman belajar pada situasi yang kontekstual mengikuti aliran kerja industri selain itu kelebihan model pembelajaran pbet ialah model tersebut dapat meningkatkan kemampuan kerja sama kolaborasi sesuai dengan tuntutan organisasi kerja dalam penelitian priyono 2017 disebutkan bahwa pelaksanaan program pembelajaran dengan model pbet berjalan dengan lancar serta hasilnya dapat tercapai dengan optimal maka dari itu model pembelajaran pbet dipilih untuk diujicobakan pada pembelajaran dasar desain grafis dalam penelitian ini penelitian ini bertujuan untuk 1 mengembangkan modul pembelajaran dasar desain grafis berbasis pbet dan 2 mengetahui kelayakan modul pembelajaran yang dihasilkan telah memenuhi persyaratan untuk digunakan di kelas model yang dipilih untuk mengembangkan modul pembelajaran tersebut ialah model addie kata kunci modul pembelajaran industri minat belajar pbet dasar desain grafis,Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
5,8,pengaruh keterampilan mengajar asisten praktikum terhadap motivasi dan prestasi mahasiswa s1 pendidikan teknik informatika angkatan 2019 pada mata kuliah dasar pemrograman komputer,motivasi belajar yang tinggi dapat membantu mahasiswa untuk mencapai prestasi belajar yang diharapkan sedangkan motivasi belajar yang rendah dapat menghambat mahasiswa mencapai prestasi belajarnya motivasi belajar mahasiswa dipengaruhi oleh beberapa hal salah satunya keterampilan mengajar seorang pendidik dalam sistem sosial peran penting berada pada dosen yang memberikan materi perkuliahan beban mengajar dosen yang semakin besar menyebabkan kebutuhan akan asisten mahasiswa meningkat asisten mahasiswa berperan dalam mendukung kelangsungan proses belajar mengajar yang diampu oleh dosen begitu juga dengan kegiatan praktikum yang dilakukan oleh mahasiswa motivasi praktikumnya akan dipengaruhi oleh keterampilan mengajar asisten praktikum di dalam kegiatan praktikum asisten praktikum diharapkan menjadi salah satu penggerak mahasiswa dalam melaksanakan tugas tugas belajarnya khususnya dalam memotivasi mahasiswa di dalam proses praktikum agar mahasiswa dapat meningkatkan prestasi belajarnya dalam kegiatan praktikum berkaitan dengan hal tersebut maka dilakuakan penelitian yang bertujuan untuk mengetahui keterampilan mengajar asisten praktikum x mengetahui motivasi y1 dan prestasi y2 mahasiswa dan mengetahui pengaruh keterampilan mengajar asisten praktikum terhadap motivasi dan prestasi mahasiswa pendidikan teknik informatika angkatan 2019 pada mata kuliah dasar pemrograman komputer,Evaluasi dan Pengelolaan Pendidikan Kejuruan
6,9,pengembangan grafika app sistem tutor berbasis micro learning matakuliah grafika komputer pada mahasiswa prodi s1 pendidikan teknik informatika jurusan teknik elektro universitas negeri malang,program studi s1 pendidikan teknik informatika merupakan salah satu program studi di fakultas teknik jurusan teknik elektro universitas negeri malang terdapat beberapa matakuliah yang harus ditempuh oleh mahasiswa program studi tersebut salah satunya adalah matakuliah grafika komputer berdasarkan observasi ditemukan masalah yaitu kesulitan dalam pemahaman materi pada matakuliah grafika komputer sehingga dirasa mahasiswa memerlukan media penunjang lain berupa sistem tutor berbasis mobile m learning pengembangan media pembelajaran sistem tutor berbasis mobile m learning ini merupakan solusi untuk megani permasalahan yang terjadi di fakultas teknik jurusan teknik elektro prodi s1 pendidikan teknik informatika universitas negeri malang selain itu dapat digunakan untuk mendukung kegiatan belajar bagi mahasiswa teknik elektro khususnya prodi s1 pendidikan teknik informatika pada matakuliah grafika komputer tujuan dari penelitian pengembangan ini adalah merancang bahan ajar berupa sistem tutor berbasis aplikasi smartphone untuk matakuliah grafika komputer mengembangkan bahan ajar berbasis aplikasi smartphone yang sesuai dengan matakuliah grafika komputer dan menguji kelayakan produk bahan ajar berbasis aplikasi smartphone pada matakuliah grafika komputer dalam pengembangan produk bahan ajar ini metode penelitian dan pengembangan mengacu pada model pengembangan sugiyono model tersebut mempunyai langkah langkah 1 potensi dan masalah 2 pengumpulan data 3 desain produk 4 validasi desain 5 revisi desain 6 uji coba produk 7 revisi produk 8 uji coba pengguna 9 revisi produk dan 10 produk akhir,Pengembangan Aplikasi dan Media Pembelajaran Teknologi dan Kejuruan
7,10,sistem monitoring dan kontrol berbasis suara menggunakan dialogflow api terintegrasi google assistant untuk pertanian akuaponik,seiring padatnya penduduk di indonesia semakin besar kebutuhan pangan di negeri ini akan tetapi lahan untuk pertanian semakin berkurang seiring dengan banyaknya alih fungsi dari lahan pertanian tersebut hal ini mendorong kaum urban untuk membuat urban farming salah satunya yaitu melalui budidaya akuaponik yang merupakan budidaya akuakultur dengan hidroponik kaum urban memiliki karakteristik sebagai orang yang memiliki banyak pekerjaan diluar rumah hal ini bisa mengurangi minat dalam budidaya akuaponik maka dari itu diperlukan sistem monitoring dan kontrol untuk sistem akuaponik yang bisa digunakan secara jarak jauh untuk memantau kondisi dari akuaponik hal ini bisa dirancang karena didukung dengan teknologi iot internet of things hal ini akan menjadi lebih menarik pengguna apabila sistem antarmuka berbasis suara banyak platform di dunia yang menyediakan asisten virtual berbasis suara salah satu yang memiliki dukungan bahasa dan pengguna terbanyak yaitu google assistant hal ini bisa diintegrasikan dengan sistem akuaponik dan interaksi manusia dengan akuaponik menjadi lebih menarik hal yang diperlukan dalam merancang asisten suara yaitu harus menggunakan nlp natural language processing salah satu nlp yang bisa digunakan yaitu menggunakan api application programming interface dialogflow api ini mendukung bahasa indonesia sehingga bisa digunakan pada sistem ini selain itu dialogflow memiliki fitur yang terintegrasi dengan google assistant sehingga mempermudah pengembang untuk mengembangkan aplikasinya tujuan dari penelitian ini yaitu untuk merancang akuaponik yang terintegrasi iot dengan antarmuka berbasis suara di platform google assistant pada sistem ini terdapat sensor suhu air sensor ph air aktuator grow led aktuator pompa air aktuator feeder pakan ikan hasil pengujian dari sistem ini yaitu sistem dapat monitoring dan mengendalikan perangkat akuaponik secara tepat feeder pakan dapat berjalan otomatis sesuai dengan jadwal begitu juga dengan grow led yang bisa nyala dan mati sesuai dengan jadwal yang ditentukan pompa secara otomatis dapat berjalan sesuai dengan konfigurasi dengan kondisi mikrokontroler aktif dan tidak mengalami mulai ulang bagian sensor sistem dapat membaca hasil dari sensor ph air dan suhu air secara waktu nyata,Telematics loT System and Devices
8,11,analisis hasil peramalan harga komoditas daging ayam dan telur ayam indonesia menggunakan metode autoregressive integrated moving average arima dan seasonal autoregressive integrated moving average sarima,daging ayam dan telur ayam merupakan bagian dari komoditas pokok di indonesia berdasarkan surat keputusan menteri perdagangan dan perindustrian no 115 mpp kep 2 1998 menurut badan pusat statistik bps konsumsi daging ayam per kapita masyarakat indonesia terus meningkat konsumsi daging ayam ras per kapita tahun pada 2017 meningkat 11 2 sementara konsumsi daging ayam kampung meningkat 24 9 selain itu tingkat konsumsi protein hewani masyarakat indonesia pada 2018 untuk daging ayam dan telur ayam lebih tinggi jika dibandingkan daging sapi karena harganya yang lebih terjangkau namun harga daging ayam dan telur ayam rentan terhadap fluktuasi harga telur ayam bergantung pada harga bibit ayam atau day old chick doc harga pakan dan obat obatan yang juga berpengaruh terhadap harga daging ayam berdasarkan kajian nyak ilham dan saptana yang berjudul fluktuasi harga telur ayam dan faktor penyebabnya harga telur ayam pada 2018 mengalami peningkatan dari 4 tahun sebelumnya dengan fluktuasi tinggi pada sisi lain permintaan terhadap daging ayam dan telur ayam meningkat ketika momen hari besar keagamaan dan hari libur nasional hal ini menyebabkan pelonjakan harga daging ayam dan telur ayam pelonjakan harga ini menyebabkan kerugian pada masyarakat dan juga negara dilansir dari situs resmi bank indonesia inflasi yang rendah dan stabil merupakan prasyarat pertumbuhan ekonomi yang berkesinambungan pengendalian inflasi penting dilakukan karena inflasi yang tinggi dan tidak stabil berdampak negatif pada pertumbuhan ekonomi dan kondisi sosial ekonomi masyarakat maka dari itu diperlukan peramalan harga pada masa mendatang untuk membantu pemerintah dalam mengambil keputusan mengenai penetapan kebijakan harga penetapan waktu dan jumlah impor penetapan jumlah stok cadangan telur ayam dan daging ayam dan kebijakan lain yang terkait penelitian ini melakukan pereamalan harga daging ayam dan telur ayam menggunakan metode arima dan sarima peramalan dilakukan pada dataset bula yang diambil setiap tanggal 15 dari januari 2007 hingga april 2019 peramalan yang dilakukan termasuk peramalan jangka pendek yaitu peramalan untuk satu bulan kedepan hal ini dilakukan karena peramalan jangka pendek memiliki nilai error yang lebih kecil daripada peramalan jangka panjang peramalan harga dilakukan pada daging ayam dan telur ayam karena kedua komoditas ini saling berkaitan satu sama lain dilihat dari hasil uji korelasi pearson sebesar 0 92 pada dataset dan 0 87 pada hasil peramalan pemilihan model terbaik berdasarkan pada nilai mean squared error mse mean absolute error mae dan mean absolute percentage error mape terkecil hasil peramalan harga daging ayam terbaik menggunakan metode arima konfigurasi 3 1 2 dengan nilai mape sebesar 2 31 sedangkan hasil peramalan harga telur ayam terbaik menggunakan metode sarima konfigurasi 2 1 1 2 0 2 0 n dengan nilai mape sebesar 3 44,Game Technology and Machine Learning Applications
9,12,hubungan antara ketelada dosen dan kebermaknaan praktik pembelajaran mikro terhadap persepsi berkarir sebagai guru smk pada mahasiswa program studi s1 pendidikan teknik elektro fakultas teknik universitas negeri malang,mahasiswa dalam berkarir sebagai guru saat ini tergolong berkurang dalam bidang minat ataupun akademik oleh karena itu diperlukan pera ketelada dosen dan kebermaknaan praktik pembelajaran mikro yang mempengaruhi persepsi pada mahasiswa tersebut pada matakuliah praktik pembelajaran mikro dapat mempengaruhi kemampuan pedagogik seorang mahasiswa dan menumbuhkan persepsi terhadap berkarir sebagai guru dengan mengacu pada permasalahan tersebut maka dilakukan penelitian hubungan antara ketelada dosen x1 dan kebermaknaan praktik pembelajaran mikro x2 dengan persepsi berkarir sebagai guru smk y  tujuan penelitian ini untuk mengungkap 1 signifikansi hubungan antara x1 dan x2 dengan y secara simultan metode penelitian ini merupakan penelitian kuantitatif dengan rancangan deskriptif korelasional yang bersifat expost facto uji prasyarat analisis data menggunakan uji normalitas linearitas multikolinearitas autokorelasi heteroskedastisitas dan hipotesis yang telah memenuhi syarat teknik analisis data yang digunakan adalah korelasi parsial dan regresi ganda penelitian ini bertujuan untuk mengetahui 1 persepsi mahasiswa tentang ketelada dosen di jurusan te um 2 tingkat pengetahuan mahasiswa tentang kebermaknaan praktik pembelajaran mikro di jurusan te um 3 persepsi mahasiswa tentang berkarir sebagai guru smk di jurusan te um 4 signifikansi hubungan antara persepsi ketelada dosen dan persepsi berkarir sebagai guru smk di jurusan te um 5 signifikansi hubungan antara kebermaknaan praktik pembelajaran mikro dan persepsi berkarir sebagai guru smk di jurusan te um 6 signifikansi hubungan antara persepsi ketelada dosen dan kebermaknaan praktik pembelajaran mikro dan persepsi berkarir sebagai guru smk di jurusan te um serta mendeskripsikan masing masing variabel x1 x2 dan y penelitian ini dilakukan di fakultas teknik universitas negeri malang dengan subyek penelitian mahasiswa program studi s1 pendidikan teknik elektro angkatan 2016,Kurikulum Pendidikan Teknologi dan Kejuruan
